avg,mapped_wreq,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
5,"{""mean"": 5.771919, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",24,71,73,3,8,5,7,14,115,18,14,11,5,8,31,19,6,25,64,81,16,63,8,7,31,12,27,8,47,122
33,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",13,15,12,15,10,16,16,13,16,12,15,18,15,13,13,12,15,15,13,13,13,18,15,16,12,16,16,17,14,11
110,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14
127,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",2,3,1,0,5,11,5,4,4,3,6,13,15,9,1,1,2,1,2,3,6,4,5,6,5,4,4,4,4,3
32,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",13,12,10,10,12,15,15,14,13,11,13,12,11,11,11,11,11,14,16,12,10,10,11,11,10,15,16,12,12,13
239,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",14,14,13,13,14,14,14,14,14,13,15,13,13,14,14,13,14,15,14,15,14,13,13,14,14,13,14,14,14,12
26,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",10,10,10,10,10,10,10,10,10,9,9,9,9,10,9,10,10,9,10,10,10,10,9,9,10,10,10,10,10,11
9,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",19,19,18,18,18,19,20,20,18,19,18,18,18,15,13,13,13,14,14,13,14,14,13,12,13,14,14,14,13,13
572,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",9,9,4,8,8,9,8,9,8,3,8,9,8,9,8,9,3,5,9,8,9,9,10,5,5,9,9,9,9,8
12,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",8,8,8,9,8,8,8,8,8,8,8,8,15,9,9,9,8,8,9,8,9,8,9,9,9,9,9,16,9,9
208,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",6,6,6,8,6,9,18,6,14,8,5,5,5,8,5,8,5,5,11,10,5,5,4,7,4,4,4,4,11,9
52,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",6,8,8,7,6,7,8,7,8,8,8,8,7,7,8,8,8,8,6,6,7,7,8,5,6,6,7,7,6,7
36,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",15,15,14,14,14,15,15,14,14,14,15,14,14,15,14,16,15,15,15,14,16,15,14,14,15,16,15,15,14,14
15,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",7,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,5,7,6,6,6,6,6,6,6
55,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",5,5,5,6,5,7,5,6,6,7,6,5,5,5,5,6,5,6,6,6,5,5,5,6,7,5,5,6,6,6
3,"{""mean"": 5.771919, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",8,7,7,7,7,8,6,7,7,7,7,7,7,7,7,8,7,8,7,7,8,7,8,8,8,8,7,8,8,8
857,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4269,"{""mean"": 2721.288156, ""bench"": ""float-c571b37ac335ef8f25"", ""payload"": ""{\""n\"": 10000}""}",9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,8,8,9,8,9,9,8,9,9,9,9,8,8,9,9
34,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",7,8,8,8,7,9,8,8,8,7,8,9,8,9,9,9,9,9,8,7,8,8,8,8,9,9,8,8,7,8
24,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",7,7,8,6,8,7,8,9,10,8,7,7,8,8,8,8,8,9,8,8,8,8,7,7,7,7,7,8,8,8
440,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",7,7,6,7,6,5,6,7,8,6,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
37,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",4,5,2,2,7,13,7,5,6,7,8,15,17,11,3,3,4,3,4,6,7,7,7,8,7,5,6,6,6,5
13,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",2,2,2,2,2,3,11,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
45,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,4,4,4
38,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",6,7,9,6,6,5,5,9,6,6,6,5,8,5,6,6,6,9,6,6,6,6,9,5,7,7,5,9,5,5
418,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
87,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,1,0,0
107,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",7,7,5,7,7,7,5,6,6,6,7,7,7,8,7,7,8,7,5,5,5,5,6,7,7,8,7,6,7,7
